source_image,x,y,label,annotator,notes
D16_03_1_7_Bright Field_001_LHi (152).jpg,1196,1658,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (166).jpg,448,627,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (73).jpg,1765,860,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (64).jpg,551,564,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (95).jpg,694,1697,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (110).jpg,231,1057,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (147).jpg,1450,936,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (36).jpg,542,863,sickle,UG,
I20_03_1_14_Bright Field_002.jpg,247,1253,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (155).jpg,1716,1315,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (50).jpg,91,183,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (96).jpg,709,1216,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (110).jpg,479,490,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (150).jpg,361,1096,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (156).jpg,334,1580,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (136).jpg,1906,793,sickle,UG,
G21_03_1_10_Bright Field_002.jpg,1726,1631,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (158).jpg,211,1668,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (44).jpg,558,1548,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (94).jpg,679,1194,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (69).jpg,1018,1553,sickle,UG,
J20_03_1_16_Bright Field_002.jpg,1264,1687,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (102).jpg,315,1308,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (52).jpg,1851,1435,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (79).jpg,142,1793,sickle,UG,
H20_03_1_12_Bright Field_002.jpg,1868,1828,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (152).jpg,1227,41,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (4).jpg,205,1321,sickle,UG,
I20_03_1_15_Bright Field_002.jpg,708,885,sickle,UG,
K20_03_1_1_Bright Field_001.jpg,521,820,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (82).jpg,646,390,sickle,UG,
J20_03_1_12_Bright Field_001.jpg,1571,1715,sickle,UG,
J20_03_1_1_Bright Field_002.jpg,1662,977,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (12).jpg,1587,113,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (97).jpg,155,957,sickle,UG,
K20_03_1_13_Bright Field_001.jpg,276,1057,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (128).jpg,1844,1489,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (142).jpg,760,1115,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (47).jpg,526,486,sickle,UG,
J20_03_1_12_Bright Field_002.jpg,1593,1795,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (116).jpg,1527,663,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (37).jpg,1893,1215,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (34).jpg,384,1827,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (162).jpg,1895,397,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (142).jpg,301,981,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (28).jpg,1048,73,non_sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (8).jpg,532,1029,sickle,UG,
G21_03_1_9_Bright Field_002.jpg,103,1629,sickle,UG,
J20_03_1_15_Bright Field_001.jpg,1174,844,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (79).jpg,1062,1002,sickle,UG,
K20_03_1_1_Bright Field_002.jpg,370,752,sickle,UG,
H20_03_1_15_Bright Field_001.jpg,1311,1835,sickle,UG,multiple sickle
J20_03_1_15_Bright Field_002.jpg,221,1156,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (163).jpg,713,209,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (153).jpg,1711,172,sickle,UG,
K20_03_1_9_Bright Field_001.jpg,754,1781,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (116).jpg,425,1698,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (12).jpg,838,1179,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (150).jpg,557,675,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (151).jpg,825,1146,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (152).jpg,922,683,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (155).jpg,774,547,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (102).jpg,830,1807,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (82).jpg,532,108,sickle,UG,
H20_03_1_6_Bright Field_002.jpg,1095,1681,sickle,UG,
K20_03_1_14_Bright Field_001.jpg,862,807,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (169).jpg,636,1346,sickle,UG,
I20_03_1_15_Bright Field_002.jpg,1720,1468,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (138).jpg,1223,279,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (20).jpg,537,806,sickle,UG,
H20_03_1_11_Bright Field_002.jpg,600,1601,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (128).jpg,679,753,sickle,UG,
J20_03_1_3_Bright Field_002.jpg,872,788,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (101).jpg,298,1546,sickle,UG,
H20_03_1_4_Bright Field_002.jpg,1722,1865,sickle,UG,multiple sickle
I20_03_1_16_Bright Field_001.jpg,1573,1615,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (102).jpg,345,1457,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (176).jpg,747,1866,sickle,UG,
I20_03_1_5_Bright Field_001.jpg,456,1937,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (157).jpg,552,1882,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (16).jpg,875,1849,non_sickle,UG,"nearby debris, exogenous polymer"
D16_03_1_7_Bright Field_001_LHi (171).jpg,194,1040,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (174).jpg,1606,773,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (104).jpg,1774,1900,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (155).jpg,1825,605,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (85).jpg,513,1415,sickle,UG,
H20_03_1_2_Bright Field_001.jpg,1343,241,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (60).jpg,1238,1062,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (84).jpg,1658,432,sickle,UG,
H20_03_1_14_Bright Field_002.jpg,1664,916,sickle,UG,
K20_03_1_11_Bright Field_001.jpg,1682,1692,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (151).jpg,526,1469,sickle,UG,
H20_03_1_4_Bright Field_001.jpg,1773,553,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (162).jpg,1844,39,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (168).jpg,1177,176,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (170).jpg,246,1460,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (155).jpg,154,184,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (167).jpg,860,1728,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (149).jpg,1419,122,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (159).jpg,482,882,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (87).jpg,236,802,sickle,UG,
I20_03_1_9_Bright Field_002.jpg,646,1656,sickle,UG,multiple sickle
J20_03_1_6_Bright Field_002.jpg,666,646,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (8).jpg,196,1582,sickle,UG,
K20_03_1_12_Bright Field_001.jpg,1823,1286,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (48).jpg,1005,1246,sickle,UG,
J20_03_1_7_Bright Field_001.jpg,645,1735,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (125).jpg,1070,318,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (151).jpg,998,506,sickle,UG,
G21_03_1_10_Bright Field_002.jpg,471,1789,sickle,UG,multiple sickle
H20_03_1_12_Bright Field_002.jpg,1479,1719,sickle,UG,
H20_03_1_16_Bright Field_002.jpg,1834,277,sickle,UG,
J20_03_1_5_Bright Field_002.jpg,1163,658,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (106).jpg,391,747,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (117).jpg,677,967,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (174).jpg,776,179,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (78).jpg,1574,553,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (151).jpg,1216,126,ambiguous,UG,
D16_03_1_7_Bright Field_001_LHi (120).jpg,1079,523,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (150).jpg,1829,258,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (163).jpg,628,139,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (88).jpg,353,646,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (114).jpg,918,1349,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (15).jpg,725,558,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (160).jpg,303,1193,ambiguous,UG,
D16_03_1_7_Bright Field_001_LHi (64).jpg,1700,1801,sickle,UG,
J20_03_1_16_Bright Field_002.jpg,896,1395,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (176).jpg,1072,1627,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (96).jpg,207,989,sickle,UG,
I20_03_1_4_Bright Field_002.jpg,1848,1213,sickle,UG,
J20_03_1_16_Bright Field_002.jpg,1057,577,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (160).jpg,1957,437,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (169).jpg,1704,1072,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (42).jpg,809,1065,sickle,UG,
G21_03_1_9_Bright Field_002.jpg,1418,973,sickle,UG,
H20_03_1_8_Bright Field_002.jpg,1407,1249,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (139).jpg,1615,781,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (152).jpg,390,849,sickle,UG,
J20_03_1_9_Bright Field_001.jpg,912,682,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (156).jpg,648,1716,sickle,UG,multiple sickle
J20_03_1_5_Bright Field_001.jpg,1172,895,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (174).jpg,581,1295,sickle,UG,
G21_03_1_15_Bright Field_001.jpg,1524,1735,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (106).jpg,1262,1153,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (146).jpg,602,1823,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (148).jpg,1003,690,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (62).jpg,1239,1792,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (64).jpg,1045,938,sickle,UG,
K20_03_1_2_Bright Field_002.jpg,410,104,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (21).jpg,269,1024,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (40).jpg,1653,1741,sickle,UG,
G21_03_1_10_Bright Field_002.jpg,606,39,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (27).jpg,1574,268,sickle,UG,
K20_03_1_5_Bright Field_002.jpg,923,1618,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (106).jpg,297,515,ambiguous,UG,
K20_03_1_16_Bright Field_001.jpg,1477,596,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (113).jpg,650,960,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (150).jpg,348,1155,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (162).jpg,816,740,sickle,UG,multiple sickle
K20_03_1_2_Bright Field_002.jpg,61,362,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (107).jpg,1751,1598,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (16).jpg,458,1839,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (34).jpg,1186,1416,sickle,UG,multiple sickle
I20_03_1_9_Bright Field_001.jpg,1827,1392,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (118).jpg,627,1439,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (173).jpg,552,1510,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (2).jpg,208,1249,sickle,UG,
H20_03_1_9_Bright Field_001.jpg,715,1001,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (103).jpg,380,682,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (116).jpg,1413,1175,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (6).jpg,237,612,sickle,UG,
K20_03_1_10_Bright Field_001.jpg,660,1317,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (20).jpg,770,1609,non_sickle,UG,exogenous polymer
I20_03_1_14_Bright Field_001.jpg,608,1504,sickle,UG,nearby debris
D16_03_1_7_Bright Field_001_LHi (151).jpg,410,1768,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (162).jpg,1424,174,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (118).jpg,1301,1473,sickle,UG,
J20_03_1_1_Bright Field_002.jpg,951,131,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (103).jpg,1399,1647,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (144).jpg,966,1193,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (70).jpg,371,1095,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (86).jpg,1769,745,sickle,UG,multiple sickle
H20_03_1_6_Bright Field_001.jpg,525,693,sickle,UG,
I20_03_1_6_Bright Field_002.jpg,92,1341,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (160).jpg,1287,1456,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (163).jpg,971,1924,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (142).jpg,1525,1383,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (63).jpg,854,165,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (154).jpg,1325,699,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (100).jpg,1604,1047,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (16).jpg,949,1818,sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (50).jpg,833,1690,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (18).jpg,509,703,ambiguous,UG,
D16_03_1_7_Bright Field_001_LHi (5).jpg,311,1095,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (126).jpg,418,1046,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (22).jpg,79,112,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (80).jpg,1878,1750,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (152).jpg,1301,39,sickle,UG,multiple sickle
I20_03_1_11_Bright Field_002.jpg,752,1786,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (12).jpg,578,1213,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (78).jpg,725,1717,sickle,UG,multiple sickle
G21_03_1_1_Bright Field_001.jpg,154,1260,non_sickle,UG,exogenous polymer
J20_03_1_6_Bright Field_001.jpg,1781,1234,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (136).jpg,166,685,non_sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (151).jpg,839,782,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (158).jpg,1303,616,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (98).jpg,1269,1813,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (17).jpg,578,723,sickle,UG,
K20_03_1_13_Bright Field_002.jpg,785,1494,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (150).jpg,741,1129,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (168).jpg,1241,617,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (38).jpg,730,404,sickle,UG,
H20_03_1_1_Bright Field_001.jpg,77,1362,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (157).jpg,1056,1082,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (84).jpg,297,1530,sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (1).jpg,735,1450,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (104).jpg,522,1219,non_sickle,UG,exogenous polymer
J20_03_1_16_Bright Field_001.jpg,1019,1833,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (161).jpg,686,1796,sickle,UG,
J20_03_1_8_Bright Field_002.jpg,1272,301,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (116).jpg,947,1900,sickle,UG,
G21_03_1_13_Bright Field_001.jpg,708,1506,sickle,UG,
I20_03_1_10_Bright Field_002.jpg,279,1884,sickle,UG,
K20_03_1_2_Bright Field_001.jpg,529,1344,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (113).jpg,990,1434,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (126).jpg,1267,1736,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (164).jpg,634,175,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (3).jpg,1405,540,sickle,UG,
H20_03_1_7_Bright Field_002.jpg,1417,588,sickle,UG,
K20_03_1_10_Bright Field_002.jpg,974,1474,sickle,UG,
K20_03_1_3_Bright Field_001.jpg,1530,920,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (90).jpg,650,648,sickle,UG,
K20_03_1_14_Bright Field_001.jpg,954,845,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (157).jpg,1256,558,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (162).jpg,549,1387,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (166).jpg,1029,837,sickle,UG,
I20_03_1_8_Bright Field_002.jpg,1185,1222,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (153).jpg,1336,1785,sickle,UG,
H20_03_1_14_Bright Field_002.jpg,825,1205,sickle,UG,
J20_03_1_4_Bright Field_001.jpg,1870,1539,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (100).jpg,228,88,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (59).jpg,787,997,sickle,UG,
G21_03_1_12_Bright Field_002.jpg,1952,1364,sickle,UG,
G21_03_1_11_Bright Field_001.jpg,360,1258,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (160).jpg,521,991,ambiguous,UG,
D16_03_1_7_Bright Field_001_LHi (172).jpg,792,291,sickle,UG,multiple sickle
G21_03_1_6_Bright Field_001.jpg,54,1015,sickle,UG,
J20_03_1_4_Bright Field_001.jpg,1851,1682,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (143).jpg,32,1432,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (151).jpg,80,777,non_sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (152).jpg,104,699,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (98).jpg,685,1138,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (148).jpg,1288,1887,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (151).jpg,1562,1337,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (39).jpg,1136,1926,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (88).jpg,1036,182,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (137).jpg,797,96,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (137).jpg,446,791,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (145).jpg,276,1468,ambiguous,UG,
H20_03_1_7_Bright Field_002.jpg,719,849,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (164).jpg,1099,1661,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (2).jpg,1751,1318,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (87).jpg,972,200,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (117).jpg,1213,721,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (36).jpg,367,1273,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (78).jpg,966,1523,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (82).jpg,847,1242,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (90).jpg,1069,214,sickle,UG,
J20_03_1_1_Bright Field_001.jpg,529,1786,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (28).jpg,631,281,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (30).jpg,509,304,sickle,UG,
H20_03_1_5_Bright Field_002.jpg,982,1171,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (122).jpg,1300,470,sickle,UG,
J20_03_1_10_Bright Field_001.jpg,912,1211,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (110).jpg,410,238,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (114).jpg,1309,1893,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (145).jpg,740,976,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (28).jpg,1743,989,sickle,UG,multiple sickle
H20_03_1_4_Bright Field_001.jpg,1494,430,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (113).jpg,1276,913,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (156).jpg,721,603,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (172).jpg,834,151,non_sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (68).jpg,1684,1750,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (81).jpg,1527,1490,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (117).jpg,124,1134,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (154).jpg,250,1153,ambiguous,UG,
D16_03_1_7_Bright Field_001_LHi (156).jpg,308,1472,sickle,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (20).jpg,889,1179,sickle,UG,
G21_03_1_11_Bright Field_002.jpg,93,1837,sickle,UG,
K20_03_1_5_Bright Field_001.jpg,871,1555,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (132).jpg,337,1487,sickle,UG,
K20_03_1_3_Bright Field_001.jpg,1681,1289,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (9).jpg,691,1690,sickle,UG,
J20_03_1_11_Bright Field_002.jpg,1414,1462,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (158).jpg,1221,1692,sickle,UG,
I20_03_1_6_Bright Field_002.jpg,823,1226,sickle,UG,
I20_03_1_9_Bright Field_002.jpg,1712,1423,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (130).jpg,281,1505,sickle,UG,multiple sickle
D16_03_1_7_Bright Field_001_LHi (158).jpg,537,218,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (157).jpg,1122,1234,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (158).jpg,204,1142,ambiguous,UG,
D16_03_1_7_Bright Field_001_LHi (176).jpg,440,361,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (67).jpg,1718,1197,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (7).jpg,52,1168,sickle,UG,
H20_03_1_4_Bright Field_002.jpg,598,305,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (136).jpg,1330,1663,sickle,UG,
J20_03_1_2_Bright Field_002.jpg,1527,401,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (117).jpg,596,254,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (6).jpg,225,1827,sickle,UG,
H20_03_1_2_Bright Field_002.jpg,1299,438,sickle,UG,
G21_03_1_8_Bright Field_001.jpg,1323,901,sickle,UG,
J20_03_1_16_Bright Field_002.jpg,828,1705,sickle,UG,
K20_03_1_4_Bright Field_002.jpg,796,124,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (36).jpg,1688,1901,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (77).jpg,1807,1569,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (16).jpg,1500,594,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (4).jpg,1584,431,sickle,UG,
G21_03_1_10_Bright Field_002.jpg,311,1784,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (126).jpg,968,619,sickle,UG,
I20_03_1_13_Bright Field_001.jpg,602,1588,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (166).jpg,1302,1204,sickle,UG,
I20_03_1_4_Bright Field_002.jpg,1000,1564,sickle,UG,exogenous polymer
K20_03_1_9_Bright Field_002.jpg,971,1517,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (176).jpg,760,1004,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (97).jpg,1500,1006,sickle,UG,
H20_03_1_6_Bright Field_002.jpg,1324,836,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (137).jpg,929,1902,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (21).jpg,212,1027,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (4).jpg,1210,947,sickle,UG,
I20_03_1_10_Bright Field_002.jpg,658,1196,sickle,UG,
I20_03_1_7_Bright Field_002.jpg,1379,1530,ambiguous,UG,
D16_03_1_7_Bright Field_001_LHi (110).jpg,1099,909,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (113).jpg,725,1491,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (80).jpg,1233,685,sickle,UG,
I20_03_1_13_Bright Field_002.jpg,290,1904,sickle,UG,
I20_03_1_6_Bright Field_002.jpg,439,1178,sickle,UG,
K20_03_1_11_Bright Field_002.jpg,1693,958,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (155).jpg,1555,1031,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (155).jpg,1846,1287,ambiguous,UG,
D16_03_1_7_Bright Field_001_LHi (155).jpg,405,1539,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (69).jpg,834,727,sickle,UG,
J20_03_1_15_Bright Field_002.jpg,1749,953,sickle,UG,
J20_03_1_15_Bright Field_002.jpg,1125,1307,sickle,UG,
K20_03_1_9_Bright Field_002.jpg,59,470,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (105).jpg,1147,1709,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (112).jpg,388,577,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (34).jpg,969,1164,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (68).jpg,1151,508,sickle,UG,
K20_03_1_2_Bright Field_001.jpg,41,401,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (155).jpg,662,1707,ambiguous,UG,exogenous polymer
D16_03_1_7_Bright Field_001_LHi (176).jpg,730,1307,sickle,UG,
H20_03_1_2_Bright Field_002.jpg,1718,825,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (132).jpg,504,770,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (176).jpg,1834,771,sickle,UG,
D16_03_1_7_Bright Field_001_LHi (24).jpg,156,971,ambiguous,UG,
